block_id	offset	encoded_length	text
1	41	39	DO YOU WANT TO START FROM SCRATCH OR USE THE JUMPER?
1	88	5	JUMPER
1	95	4	START
1	209	18	WHERE DO YOU WISH TO GO?
1	256	3	JUMP
1	261	4	ARENA
1	267	3	DUEL
1	272	4	SPACE
1	278	6	TREASURE
1	286	3	PREV
1	291	3	NEXT
1	335	6	TRAINER
1	343	4	STORE
1	349	6	ADDBUCK
1	357	6	DROPBUCK
1	365	3	PREV
1	370	3	NEXT
1	416	5	SPRITE
1	423	5	BOXPIC
1	430	4	TESTS
1	436	4	WALLS
1	442	3	PREV
1	447	3	NEXT
1	522	27	WHAT DO YOU WANT TO SET CURDISK TO?
1	558	17	YOU ARE GOING TO ECL:
1	583	16	THE CURRENT DISK IS:
1	608	9	IS THIS OK?
1	626	25	DO YOU WISH TO SET X,Y POSITIONS?
1	663	9	X POSITION:
1	681	9	Y POSITION:
1	699	6	FACING:
1	714	30	DO YOU WISH TO SET ANY PARTY VARIABLES?
1	813	25	WHAT WILL THE VARIABLE BE SET TO?
1	912	7	SPACE ...
1	927	9	SPACE COMBAT
1	938	3	QUIT
1	956	17	FIGHT WHICH SHIP TYPE?
1	1006	29	WHAT IS THE ENEMY'S ROCKET JOCK SKILL?
1	1058	25	WHAT IS THE ENEMY'S GUNNER THACO?
1	1106	6	SHIP #
1	1124	6	E. RJ:
1	1142	8	E. THACO:
1	1207	5	ABORT?
1	1277	15	WHICH STORE NUMBER?
1	1336	9	TOO HIGH!!!
1	1363	31	HOW MANY EXPERIENCE POINTS FOR THE PARTY?
1	1413	21	WHICH SPRITE # DO YOU WISH?
1	1458	9	AT RANGE 2.
1	1472	9	AT RANGE 1.
1	1486	9	AT RANGE 0.
1	1503	21	WHAT PICTURE # DO YOU WISH?
1	1542	27	WHICH FUNCTION DO YOU WISH TO TEST?
1	1577	4	SKILL
1	1583	6	JOURNAL
1	1591	3	DIST
1	1600	3	VIEW
1	1605	3	QUIT
1	1635	28	WHICH SKILL TYPE DO YOU WISH TO TEST?
1	1671	6	STSKILL
1	1679	6	PRSKILL
1	1687	6	DAMSKILL
1	1695	3	QUIT
1	1725	25	WHAT SKILL # DO YOU WISH TO TEST?
1	1759	21	CHECK ONLY A SINGLE PERSON?
1	1792	8	WHICH ONE?
1	1803	17	WHAT DIFFICULTY LEVEL?
1	1828	6	V. EASY
1	1836	3	EASY
1	1846	3	DIFF
1	1851	8	IMPOSSIBLE
1	1872	7	PERSON #
1	1880	17	W-?DXL PERFORMED AT
1	1886	12	PERFORMED AT #
1	1920	25	WHAT SKILL # DO YOU WISH TO TEST?
1	1954	21	CHECK ONLY A SINGLE PERSON?
1	1987	8	WHICH ONE?
1	1998	17	WHAT DIFFICULTY LEVEL?
1	2023	6	V. EASY
1	2031	3	EASY
1	2041	3	DIFF
1	2046	8	IMPOSSIBLE
1	2068	7	PERSON #
1	2076	17	W-?DXL PERFORMED AT
1	2082	12	PERFORMED AT #
1	2116	25	WHAT SKILL # DO YOU WISH TO TEST?
1	2150	21	CHECK ONLY A SINGLE PERSON?
1	2183	8	WHICH ONE?
1	2194	17	WHAT DIFFICULTY LEVEL?
1	2219	6	V. EASY
1	2227	3	EASY
1	2237	3	DIFF
1	2242	8	IMPOSSIBLE
1	2253	20	WHAT # OF DICE FOR DAMAGE?
1	2282	21	HOW MANY FACES ON THE DICE?
1	2312	14	BONUS # TO DAMAGE?
1	2355	7	PERSON #
1	2363	17	W-?DXL PERFORMED AT
1	2369	12	PERFORMED AT #
1	2397	12	JOURNAL STRING?
1	2418	12	JOURNAL NUMBER?
1	2453	21	WHAT DIRECTION DO YOU WISH?
1	2482	4	NORTH
1	2488	3	EAST
1	2493	4	SOUTH
1	2499	3	WEST
1	2512	8	THERE ARE
1	2527	20	SQUARES TO THE NEXT WALL.
1	2555	19	WHAT SOUND # DO YOU WISH?
1	2592	8	WHAT MODE?
1	2612	5	BIGPIC
1	2619	4	SPACE
1	2625	6	OUTPOST
1	2633	3	WILD
1	2638	3	EXIT
1	2661	6	PICTURE:
1	2784	7	TOO HIGH.
1	2799	6	TOO LOW.
1	2826	9	BUCK ROGERS
1	2857	16	YOU ALREADY HAVE HIM.
1	2908	15	BUCK JOINS THE TEAM.
1	2949	9	BUCK ROGERS
1	2983	9	BUCK LEAVES.
1	3034	28	WHAT NEW WALLSET DO YOU WISH TO LOAD?
1	3094	7	TOO HIGH!
1	3138	8	BOX SHOTS.
1	3150	134	LIGHT REFLECTS FROM THE APPROACHING MAN'S FACE. BENEATH THE CHROME THE FEATURES ARE FAMILIAR. HE LAUGHS MANIACALLY, 'FOOLS! I CANNOT FALL UNTIL THE SYSTEM IS PURGED OF WEAKNESS!'
1	3288	131	THE TINY SUN IS ECLIPSED BY A HUGE SHAPE, THE SIZE OF A BATTLER, BUT OF NO CONFIGURATION YOU RECOGNIZE. IT PULSES IN A DISTURBINGLY LIFE-LIKE MANNER AS IT SILENTLY CLOSES IN.
1	3568	104	THE HUGE WINGED SHAPE TURNS AWKWARDLY TOWARDS YOU. 'PARDON ME. WE ARE BORN TO WEIGHTLESSNESS. EVEN THIS MINIMAL GRAVITY IS AN IRRITATION.'
1	3583	80	E TURNS AWKWARDLY TOWARDS YOU. 'PARDON ME. WE ARE BORN TO WEIGHTLESSNESS. EVEN THIS MINIMAL GRAVITY IS AN
2	73	9	FIGHT HERE?
2	88	21	GIVE ALL NUMBERS IN DECIMAL.
2	141	27	WHAT IS THE ATTACK LOCATION NUMBER?
2	203	7	TOO HIGH.
2	220	24	IGNORE 'EQUIPMENT HIDE' OPTION?
2	252	15	INPUT TERRAIN BYTE.
2	314	15	INPUT LANDTYPE BYTE.
2	375	10	WHAT MONSTER?
2	395	9	WHAT COMPIC?
2	414	7	HOW MANY?
2	431	12	ANOTHER MONSTER?
2	455	10	WHAT MONSTER?
2	475	9	WHAT COMPIC?
2	494	7	HOW MANY?
2	511	12	ANOTHER MONSTER?
2	535	10	WHAT MONSTER?
2	555	9	WHAT COMPIC?
2	574	7	HOW MANY?
2	665	13	RETURN TO JUMPER?
17	249	17	THE AIRLOCK IS SEALED.
17	276	32	SCOT.DOS WELCOMES YOU BACK TO YOUR SHIP. '
17	357	22	THIS THEORIST BUSINESS IS...
17	387	63	YOUR MISSION HAS NOT BEEN COMPLETED. I CANNOT LET YOU DISGRACE YOURSELF BY LEAVING.'
17	469	62	THIS IS VERY DISTRESSING. THE TERRAN SHIP HAS LEFT ORBIT ON A COURSE TOWARD EARTH.
