entry	name	completed	timed_out	error	output_file
0000:00b2	FUN_0000_00b2	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_00b2_FUN_0000_00b2.c
0000:00d2	FUN_0000_00d2	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_00d2_FUN_0000_00d2.c
0000:016c	FUN_0000_016c	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_016c_FUN_0000_016c.c
0000:0385	FUN_0000_0385	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_0385_FUN_0000_0385.c
0000:03ab	FUN_0000_03ab	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_03ab_FUN_0000_03ab.c
0000:0415	FUN_0000_0415	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_0415_FUN_0000_0415.c
0000:0445	FUN_0000_0445	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_0445_FUN_0000_0445.c
0000:0475	FUN_0000_0475	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_0475_FUN_0000_0475.c
0000:0585	FUN_0000_0585	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_0585_FUN_0000_0585.c
0000:058f	FUN_0000_058f	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_058f_FUN_0000_058f.c
0000:05a3	thunk_FUN_0000_d6c2	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_05a3_thunk_FUN_0000_d6c2.c
0000:05a8	thunk_FUN_0000_643a	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_05a8_thunk_FUN_0000_643a.c
0000:05ad	FUN_0000_05ad	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_05ad_FUN_0000_05ad.c
0000:05b2	FUN_0000_05b2	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_05b2_FUN_0000_05b2.c
0000:05bc	FUN_0000_05bc	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_05bc_FUN_0000_05bc.c
0000:05c1	FUN_0000_05c1	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_05c1_FUN_0000_05c1.c
0000:05cb	FUN_0000_05cb	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_05cb_FUN_0000_05cb.c
0000:05d0	FUN_0000_05d0	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_05d0_FUN_0000_05d0.c
0000:05d5	FUN_0000_05d5	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_05d5_FUN_0000_05d5.c
0000:0615	FUN_0000_0615	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_0615_FUN_0000_0615.c
0000:065a	FUN_0000_065a	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_065a_FUN_0000_065a.c
0000:069a	FUN_0000_069a	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_069a_FUN_0000_069a.c
0000:06d5	FUN_0000_06d5	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_06d5_FUN_0000_06d5.c
0000:06ee	FUN_0000_06ee	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_06ee_FUN_0000_06ee.c
0000:06f3	FUN_0000_06f3	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_06f3_FUN_0000_06f3.c
0000:06f8	FUN_0000_06f8	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_game_ovr_payload/decompiled/0000_06f8_FUN_0000_06f8.c
