entry	name	body_addresses	entry_block	is_thunk	calling_convention
0000:00b2	FUN_0000_00b2	18	ram	false	__cdecl16far
0000:00d2	FUN_0000_00d2	154	ram	false	__stdcall16far
0000:016c	FUN_0000_016c	21	ram	false	__cdecl16far
0000:0385	FUN_0000_0385	42	ram	false	unknown
0000:03ab	FUN_0000_03ab	60	ram	false	unknown
0000:0415	FUN_0000_0415	19	ram	false	unknown
0000:0445	FUN_0000_0445	2	ram	false	unknown
0000:0475	FUN_0000_0475	19	ram	false	unknown
0000:0585	FUN_0000_0585	2	ram	false	unknown
0000:058f	FUN_0000_058f	19	ram	false	unknown
0000:05a3	thunk_FUN_0000_d6c2	5	ram	true	__stdcall16far
0000:05a8	thunk_FUN_0000_643a	5	ram	true	unknown
0000:05ad	FUN_0000_05ad	5	ram	false	unknown
0000:05b2	FUN_0000_05b2	10	ram	false	unknown
0000:05bc	FUN_0000_05bc	5	ram	false	unknown
0000:05c1	FUN_0000_05c1	7	ram	false	unknown
0000:05cb	FUN_0000_05cb	5	ram	false	unknown
0000:05d0	FUN_0000_05d0	5	ram	false	unknown
0000:05d5	FUN_0000_05d5	16	ram	false	unknown
0000:0615	FUN_0000_0615	18	ram	false	unknown
0000:065a	FUN_0000_065a	21	ram	false	unknown
0000:069a	FUN_0000_069a	24	ram	false	unknown
0000:06d5	FUN_0000_06d5	16	ram	false	unknown
0000:06ee	FUN_0000_06ee	3	ram	false	unknown
0000:06f3	FUN_0000_06f3	5	ram	false	unknown
0000:06f8	FUN_0000_06f8	5	ram	false	unknown
0000:06fd	FUN_0000_06fd	10	ram	false	unknown
0000:070c	FUN_0000_070c	4	ram	false	unknown
0000:0711	FUN_0000_0711	21	ram	false	unknown
0000:0734	FUN_0000_0734	10	ram	false	unknown
0000:073e	FUN_0000_073e	10	ram	false	unknown
0000:0775	FUN_0000_0775	18	ram	false	unknown
0000:07d7	FUN_0000_07d7	11	ram	false	__cdecl16far
0000:07e8	FUN_0000_07e8	34	ram	false	unknown
0000:080a	FUN_0000_080a	5	ram	false	unknown
0000:080f	FUN_0000_080f	34	ram	false	unknown
0000:0832	FUN_0000_0832	46	ram	false	__stdcall16far
0000:088a	FUN_0000_088a	29	ram	false	unknown
0000:08c5	FUN_0000_08c5	78	ram	false	unknown
0000:0945	FUN_0000_0945	17	ram	false	unknown
0000:095e	FUN_0000_095e	5	ram	false	unknown
0000:0963	FUN_0000_0963	14	ram	false	unknown
0000:0972	FUN_0000_0972	13	ram	false	unknown
0000:0981	FUN_0000_0981	48	ram	false	unknown
0000:09b1	FUN_0000_09b1	4	ram	false	__cdecl16far
0000:09b5	FUN_0000_09b5	5	ram	false	__cdecl16far
