entry	name	completed	timed_out	error	output_file
1000:002f	entry	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1000_002f_entry.c
1000:02b1	FUN_1000_02b1	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1000_02b1_FUN_1000_02b1.c
102d:0020	FUN_102d_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/102d_0020_FUN_102d_0020.c
1039:0025	FUN_1039_0025	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1039_0025_FUN_1039_0025.c
1045:0020	FUN_1045_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1045_0020_FUN_1045_0020.c
1048:0020	FUN_1048_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1048_0020_FUN_1048_0020.c
1048:002a	FUN_1048_002a	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1048_002a_FUN_1048_002a.c
1056:0020	FUN_1056_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1056_0020_FUN_1056_0020.c
1063:0020	FUN_1063_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1063_0020_FUN_1063_0020.c
1063:0025	FUN_1063_0025	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1063_0025_FUN_1063_0025.c
1067:0020	FUN_1067_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1067_0020_FUN_1067_0020.c
106b:0020	FUN_106b_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/106b_0020_FUN_106b_0020.c
1075:0020	FUN_1075_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1075_0020_FUN_1075_0020.c
1078:0020	FUN_1078_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1078_0020_FUN_1078_0020.c
107e:0020	FUN_107e_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/107e_0020_FUN_107e_0020.c
1086:0020	FUN_1086_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1086_0020_FUN_1086_0020.c
1092:0020	FUN_1092_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1092_0020_FUN_1092_0020.c
1099:009d	FUN_1099_009d	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/1099_009d_FUN_1099_009d.c
10af:0020	FUN_10af_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10af_0020_FUN_10af_0020.c
10b8:0050	FUN_10b8_0050	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10b8_0050_FUN_10b8_0050.c
10b8:00be	FUN_10b8_00be	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10b8_00be_FUN_10b8_00be.c
10b8:0127	FUN_10b8_0127	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10b8_0127_FUN_10b8_0127.c
10b8:014f	FUN_10b8_014f	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10b8_014f_FUN_10b8_014f.c
10d1:0020	FUN_10d1_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10d1_0020_FUN_10d1_0020.c
10d1:0025	FUN_10d1_0025	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10d1_0025_FUN_10d1_0025.c
10d1:0050	FUN_10d1_0050	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10d1_0050_FUN_10d1_0050.c
10d7:0020	FUN_10d7_0020	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10d7_0020_FUN_10d7_0020.c
10ec:00c6	FUN_10ec_00c6	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10ec_00c6_FUN_10ec_00c6.c
10ec:00d4	FUN_10ec_00d4	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10ec_00d4_FUN_10ec_00d4.c
10ec:00f9	FUN_10ec_00f9	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10ec_00f9_FUN_10ec_00f9.c
10ec:011b	FUN_10ec_011b	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10ec_011b_FUN_10ec_011b.c
10ec:0143	FUN_10ec_0143	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10ec_0143_FUN_10ec_0143.c
10ec:015f	FUN_10ec_015f	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10ec_015f_FUN_10ec_015f.c
10ec:01a3	FUN_10ec_01a3	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10ec_01a3_FUN_10ec_01a3.c
10ec:01db	FUN_10ec_01db	true	false		/home/jzatopa/.openclaw/workspaces/goldenbox/matrix-cubed-re/generated/ghidra/deep_start_unpacked/decompiled/10ec_01db_FUN_10ec_01db.c
