entry	name	body_addresses	entry_block	is_thunk	calling_convention
1000:002f	entry	637	CODE_0	false	unknown
1000:02b1	FUN_1000_02b1	16	CODE_0	false	unknown
102d:0020	FUN_102d_0020	190	CODE_1	false	unknown
1039:0025	FUN_1039_0025	163	CODE_5	false	unknown
1045:0020	FUN_1045_0020	48	CODE_9	false	unknown
1048:0020	FUN_1048_0020	9	CODE_10	false	unknown
1048:002a	FUN_1048_002a	211	CODE_10	false	unknown
1056:0020	FUN_1056_0020	187	CODE_12	false	__stdcall16near
1063:0020	FUN_1063_0020	5	CODE_14	false	unknown
1063:0025	FUN_1063_0025	59	CODE_14	false	unknown
1067:0020	FUN_1067_0020	64	CODE_15	false	unknown
106b:0020	FUN_106b_0020	138	CODE_16	false	unknown
1075:0020	FUN_1075_0020	48	CODE_17	false	unknown
1078:0020	FUN_1078_0020	96	CODE_18	false	unknown
107e:0020	FUN_107e_0020	22	CODE_19	false	unknown
1086:0020	FUN_1086_0020	128	CODE_20	false	__cdecl16near
1092:0020	FUN_1092_0020	180	CODE_23	false	__cdecl16near
1099:009d	FUN_1099_009d	20	CODE_24	false	__stdcall16near
10af:0020	FUN_10af_0020	184	CODE_25	false	unknown
10b8:0050	FUN_10b8_0050	110	CODE_27	false	__stdcall16far
10b8:00be	FUN_10b8_00be	105	CODE_27	false	__stdcall16far
10b8:0127	FUN_10b8_0127	40	CODE_27	false	__stdcall16far
10b8:014f	FUN_10b8_014f	64	CODE_27	false	__stdcall16far
10d1:0020	FUN_10d1_0020	5	CODE_28	false	unknown
10d1:0025	FUN_10d1_0025	30	CODE_28	false	__stdcall16far
10d1:0050	FUN_10d1_0050	5	CODE_28	false	__cdecl16far
10d7:0020	FUN_10d7_0020	498	CODE_30	false	__stdcall16far
10ec:00c6	FUN_10ec_00c6	14	CODE_34	false	__cdecl16far
10ec:00d4	FUN_10ec_00d4	37	CODE_34	false	__stdcall16far
10ec:00f9	FUN_10ec_00f9	34	CODE_34	false	__stdcall16far
10ec:011b	FUN_10ec_011b	40	CODE_34	false	__cdecl16far
10ec:0143	FUN_10ec_0143	28	CODE_34	false	__cdecl16far
10ec:015f	FUN_10ec_015f	68	CODE_34	false	__cdecl16far
10ec:01a3	FUN_10ec_01a3	56	CODE_34	false	__cdecl16far
10ec:01db	FUN_10ec_01db	76	CODE_34	false	__cdecl16far
10ec:0227	FUN_10ec_0227	49	CODE_34	false	__cdecl16far
10ec:0258	FUN_10ec_0258	40	CODE_34	false	__cdecl16far
10ec:0280	FUN_10ec_0280	574	CODE_34	false	__stdcall16far
10ec:04be	FUN_10ec_04be	5	CODE_34	false	__cdecl16far
1139:0020	FUN_1139_0020	15	CODE_35	false	unknown
1139:002f	FUN_1139_002f	159	CODE_35	false	__stdcall16far
113d:036b	FUN_113d_036b	2651	CODE_36	false	__cdecl16far
121a:0000	FUN_121a_0000	94	CODE_37	false	__stdcall16far
121a:005e	FUN_121a_005e	79	CODE_37	false	__stdcall16far
121a:00ad	FUN_121a_00ad	48	CODE_37	false	__stdcall16far
121a:00dd	FUN_121a_00dd	13	CODE_37	false	__cdecl16far
121a:00ea	FUN_121a_00ea	993	CODE_37	false	__stdcall16far
121a:057d	FUN_121a_057d	1600	CODE_37	false	__stdcall16far
121a:0bbd	FUN_121a_0bbd	317	CODE_37	false	__stdcall16far
121a:0cfa	FUN_121a_0cfa	194	CODE_37	false	__stdcall16far
121a:0dbc	FUN_121a_0dbc	133	CODE_37	false	__stdcall16far
121a:0e41	FUN_121a_0e41	141	CODE_37	false	__stdcall16far
121a:0ece	FUN_121a_0ece	49	CODE_37	false	__stdcall16far
121a:0eff	FUN_121a_0eff	983	CODE_37	false	__stdcall16far
121a:12d6	FUN_121a_12d6	683	CODE_37	false	__stdcall16far
121a:1581	FUN_121a_1581	662	CODE_37	false	__stdcall16far
121a:1817	FUN_121a_1817	921	CODE_37	false	__cdecl16far
121a:1bb0	FUN_121a_1bb0	1789	CODE_37	false	__stdcall16far
121a:22ad	FUN_121a_22ad	239	CODE_37	false	__stdcall16far
121a:239c	FUN_121a_239c	116	CODE_37	false	__stdcall16far
121a:2410	FUN_121a_2410	1002	CODE_37	false	__stdcall16far
121a:27fa	FUN_121a_27fa	68	CODE_37	false	__stdcall16far
121a:283e	FUN_121a_283e	107	CODE_37	false	__stdcall16far
121a:28a9	FUN_121a_28a9	758	CODE_37	false	__stdcall16far
121a:2b9f	FUN_121a_2b9f	587	CODE_37	false	__stdcall16far
121a:2dea	FUN_121a_2dea	430	CODE_37	false	__stdcall16far
121a:2f98	FUN_121a_2f98	75	CODE_37	false	__stdcall16far
121a:2fe3	FUN_121a_2fe3	5	CODE_37	false	__cdecl16far
121a:2fe8	FUN_121a_2fe8	135	CODE_37	false	__stdcall16near
121a:306f	FUN_121a_306f	148	CODE_37	false	__stdcall16near
121a:3103	FUN_121a_3103	352	CODE_37	false	__stdcall16near
121a:3268	FUN_121a_3268	143	CODE_37	false	__stdcall16near
121a:32f7	FUN_121a_32f7	157	CODE_37	false	__stdcall16near
121a:3394	FUN_121a_3394	374	CODE_37	false	__stdcall16near
121a:350f	FUN_121a_350f	149	CODE_37	false	__stdcall16near
121a:35a4	FUN_121a_35a4	162	CODE_37	false	__stdcall16near
121a:3646	FUN_121a_3646	371	CODE_37	false	__stdcall16near
121a:37be	FUN_121a_37be	95	CODE_37	false	__cdecl16near
121a:381d	FUN_121a_381d	147	CODE_37	false	__cdecl16near
121a:38b0	FUN_121a_38b0	163	CODE_37	false	__stdcall16near
121a:3953	FUN_121a_3953	182	CODE_37	false	__stdcall16near
121a:3a09	FUN_121a_3a09	396	CODE_37	false	__stdcall16near
121a:3b9a	FUN_121a_3b9a	95	CODE_37	false	__cdecl16near
121a:3bf9	FUN_121a_3bf9	140	CODE_37	false	__cdecl16near
121a:3c85	FUN_121a_3c85	237	CODE_37	false	__stdcall16near
121a:3d72	FUN_121a_3d72	165	CODE_37	false	__stdcall16near
121a:3e17	FUN_121a_3e17	44	CODE_37	false	__stdcall16near
121a:3e43	FUN_121a_3e43	47	CODE_37	false	__stdcall16near
1602:0084	FUN_1602_0084	113	CODE_38	false	__cdecl16far
1602:00f5	FUN_1602_00f5	47	CODE_38	false	__stdcall16far
1602:0124	FUN_1602_0124	23	CODE_38	false	__stdcall16far
1602:013b	FUN_1602_013b	186	CODE_38	false	__stdcall16far
1602:0263	FUN_1602_0263	366	CODE_38	false	__stdcall16far
1602:03d1	FUN_1602_03d1	73	CODE_38	false	__stdcall16far
1602:041a	FUN_1602_041a	143	CODE_38	false	__stdcall16far
1602:04a9	FUN_1602_04a9	124	CODE_38	false	__stdcall16far
1602:0525	FUN_1602_0525	58	CODE_38	false	__stdcall16far
1602:055f	FUN_1602_055f	631	CODE_38	false	__stdcall16far
1602:0bf4	FUN_1602_0bf4	127	CODE_38	false	__stdcall16far
1602:0c73	FUN_1602_0c73	122	CODE_38	false	__cdecl16far
1602:0ced	FUN_1602_0ced	215	CODE_38	false	__cdecl16far
1602:0dc4	FUN_1602_0dc4	90	CODE_38	false	__stdcall16far
1602:0e1e	FUN_1602_0e1e	27	CODE_38	false	__cdecl16far
1602:0e39	FUN_1602_0e39	654	CODE_38	false	__stdcall16far
1602:10c7	FUN_1602_10c7	30	CODE_38	false	__stdcall16far
1602:10e5	FUN_1602_10e5	46	CODE_38	false	__cdecl16far
1602:1113	FUN_1602_1113	41	CODE_38	false	__stdcall16far
1602:113c	FUN_1602_113c	263	CODE_38	false	__stdcall16far
1602:1243	FUN_1602_1243	41	CODE_38	false	__cdecl16far
1602:1309	FUN_1602_1309	21	CODE_38	false	__cdecl16far
1602:131e	FUN_1602_131e	60	CODE_38	false	__stdcall16far
1602:135a	FUN_1602_135a	58	CODE_38	false	__stdcall16far
1602:15a1	FUN_1602_15a1	5	CODE_38	false	__cdecl16far
1602:15a6	FUN_1602_15a6	157	CODE_38	false	__stdcall16near
1602:1645	FUN_1602_1645	96	CODE_38	false	__stdcall16near
1602:16a5	FUN_1602_16a5	267	CODE_38	false	__stdcall16near
1602:17b4	FUN_1602_17b4	92	CODE_38	false	__stdcall16far
1784:0000	FUN_1784_0000	38	CODE_39	false	__stdcall16far
1784:0026	FUN_1784_0026	45	CODE_39	false	__stdcall16far
1784:0053	FUN_1784_0053	17	CODE_39	false	__cdecl16far
1784:0064	FUN_1784_0064	5	CODE_39	false	__cdecl16far
178b:0000	FUN_178b_0000	32	CODE_40	false	__cdecl16far
178b:0020	FUN_178b_0020	23	CODE_40	false	__cdecl16far
178b:0037	FUN_178b_0037	108	CODE_40	false	__stdcall16far
178b:00a3	FUN_178b_00a3	112	CODE_40	false	__stdcall16far
178b:0113	FUN_178b_0113	30	CODE_40	false	__stdcall16far
178b:0131	FUN_178b_0131	90	CODE_40	false	__stdcall16far
178b:018b	FUN_178b_018b	79	CODE_40	false	__stdcall16far
178b:01ff	FUN_178b_01ff	75	CODE_40	false	__cdecl16far
178b:02e6	FUN_178b_02e6	565	CODE_40	false	__stdcall16far
178b:051b	FUN_178b_051b	74	CODE_40	false	__stdcall16far
178b:0565	FUN_178b_0565	207	CODE_40	false	__stdcall16far
178b:0634	FUN_178b_0634	234	CODE_40	false	__stdcall16far
178b:071e	FUN_178b_071e	188	CODE_40	false	__stdcall16far
178b:07da	FUN_178b_07da	243	CODE_40	false	__stdcall16far
178b:08cd	FUN_178b_08cd	27	CODE_40	false	__stdcall16far
178b:08e8	FUN_178b_08e8	412	CODE_40	false	__stdcall16far
178b:0a84	FUN_178b_0a84	19	CODE_40	false	__stdcall16far
178b:0a97	FUN_178b_0a97	11	CODE_40	false	__cdecl16far
178b:0aa2	FUN_178b_0aa2	5	CODE_40	false	__cdecl16far
1836:0000	FUN_1836_0000	95	CODE_41	false	__cdecl16far
1836:005f	FUN_1836_005f	12	CODE_41	false	__stdcall16far
1836:006b	FUN_1836_006b	179	CODE_41	false	__stdcall16far
1836:011e	FUN_1836_011e	127	CODE_41	false	__stdcall16far
1836:01c7	FUN_1836_01c7	366	CODE_41	false	__cdecl16far
1836:0335	FUN_1836_0335	154	CODE_41	false	__cdecl16far
1836:03cf	FUN_1836_03cf	29	CODE_41	false	__cdecl16far
1836:03ec	FUN_1836_03ec	25	CODE_41	false	__cdecl16far
