file	id	raw_size	packed_size	decoded_sha256	warnings
8X8D0.DAX	1	6206	4560	22cff5b9a2447fac0dc79fcecebf6c2a22ed910df686eb455cf979147eeced71	
8X8D1.DAX	1	16818	15066	d87c0fe5d02ba7da89110aa2c81b5956f84711d0d3a7dc8713acf79d1d0ce336	
8X8D1.DAX	3	16818	14867	1338bb17cc6f0fe36cb7f943fdf6d2eaec1175389ff7c7924bd8e1a79246f6c3	
8X8D1.DAX	5	16818	15215	cbb2a1620debcc25eba0444d8f58139b0b39a7bd4bb4b039e5d6b743a09c5c8f	
8X8D1.DAX	7	16818	14874	f5a2bed09f3e59b1302138ef3b7ac4817033fa19217aacf3d370427d511c7f2f	
8X8D1.DAX	9	16818	14286	a30f4d3894f393fd303c2297b5677bd8a8d20aa9b1cf06cb71ff066e9dce47f6	
8X8D1.DAX	11	16818	15651	6a2f8ec534ba54c022f744ef3661703a29a770503008fa56d4352727a4319263	
8X8D1.DAX	13	16818	16109	c92e79fecf801ce62f6cca475b03ac252739bfee8b12e5e1b580c3d80091ea59	
8X8D1.DAX	15	16818	16004	49ecd021869c4b634443a7a9c7baefd16524f92b33c865867da3bbba70fdd827	
8X8D1.DAX	17	16818	16330	68a09844620b8338b9a9f8f6b07678291691457c4c3bbb6398d3a602b7a02c34	
8X8D1.DAX	19	16818	14906	7c974256928e57f3042e5ef8859f5b211180f6f095eb89bf4faa555e27a1a5a6	
8X8D1.DAX	22	16818	14349	20a3ef0f0aa0c49e29489386a8c63acd3dcb67743bebe3e4caddb4a81eb6691d	
8X8D1.DAX	201	2048	580	158f32ca1976a9d0d087a12d75d2b746a053673e614c6b2ad6299eeb4e060728	
8X8D1.DAX	202	1350	540	8be3b6825e042101d0b4295e2abbd0be46e14fcf91a9be629c16a324ea4ad81b	
BACK1.DAX	1	7870	3906	9680e092cae5e4ed13f5b18972d7a403b2677fb565bd7de174872a581705cb1d	
BACK1.DAX	129	7870	4234	7e43ec50f60a456a46242943f33307de7436985027fb4d97981b34a9c82b1386	
BACK1.DAX	3	7870	4574	13d2ece4411854da245fbcac4fc7a83762d0ac0f754d8c2bf7272af32856ceb7	
BACK1.DAX	131	7870	3314	17601ebb6b1945be54c72ec08d64cfa9eefa05a5f3d4a620d53c86074a0ff067	
BACK1.DAX	5	7870	3166	91835fed9a124c8a31a75644da7ebadc65b2270c31b26bfdd4006ead93391006	
BACK1.DAX	133	7870	3954	d92f11d7649b3365676bab676e630e06af7bbf7e4b25734698ea8ff001ff8da9	
BACK1.DAX	7	7870	3907	3583d060209b7aef1cf1089263b4ccca6141cef32d53a8b3b68c5a7e60c68b77	
BACK1.DAX	135	7870	4865	01869a99db20fa52d04624de679b6ac9a14ad9ef372cdc6eb2a31c274deacbfb	
BACK1.DAX	9	7870	8062	e73e42db11f8a0da169d887807325870e2932a6ebf2500d69c8c6d0ef2f7035a	
BACK1.DAX	11	7870	2926	4bf0589f06af90ee0278067da8d0b6c603748cfb533082775ef10dc85d26e0be	
BACK1.DAX	139	7870	6845	b555d8ce3b4c272da0df8299d6378f048c1fa6e3aa22dbb392f8716aa929afc5	
BACK1.DAX	13	7870	6359	766b1b63b9f109150ffe77caa6b3762d4a24661123a375a5d007e0b0ce61b99d	
BACK1.DAX	141	7870	6827	2c09465c3270a5fd7fc669746b9ecee1058cc25e0c1f6aa03b37292b8932ccda	
BACK1.DAX	15	7870	7093	e99d851b95bffea582cda31050830bf34af65ccea3d0e014b89d2876cc96996d	
BACK1.DAX	143	7870	6928	7d4b6eb6c4a0c63adad8721617030d9dcb2a76a585951541068a9c16b271a991	
BACK1.DAX	17	7870	8059	4821f77b5824e00032b432ba49a3f218a8f3f221ee956740b690620e1adc1507	
BACK1.DAX	19	7870	4476	749693557eb40c3a69187848f0006020c9f52b65b4af83683601cbfe21ca2604	
BACK1.DAX	147	7870	7459	31c4ddbaecb85a2235de558fe99407ae6ae8f19c208199f23e3840f47cb885e6	
BACK1.DAX	22	7870	2679	7ae525472e3a28da3753ad5cb19df27166df53824afe23c25f72c4a5bebd5329	
BACK1.DAX	150	7870	5145	5e2430affc6b0bb2037548540ee30f6a0a743e01eb20483dbd6fa47a1680f679	
BIGPIC1.DAX	112	37278	37238	98e10a8eb3dd73d598731c2b3a84c8f8be329c8055ab24ff35e2c8d8e552b283	
BIGPIC1.DAX	113	37278	38399	917f94fb9f737728c86090999cc6aa5256169d137ea4739d08810a701031acc2	
BIGPIC1.DAX	114	37278	27332	814d18164920a419d88b0d3d7ed98af35890c9b30e57469ce0db0ced9f0d8b2e	
BIGPIC1.DAX	115	37278	32287	d4843be556ec6d9dc66da6cde0725ff5f9fa69a2bb4e999c78c0a9e64d7ffc50	
BIGPIC1.DAX	116	37278	37171	fc609a3539ef330e56947b1435ec935298c309063cae06986240f107e57028fd	
BIGPIC1.DAX	117	37278	31000	5f88ab7cc3337a300439415a1120bfc3893b9eb81af78a1c1c820d6dea05ea89	
BORDERS.DAX	0	838	660	a5b781b47d89f02440187deaed8e03f51fb2be6393ea680020350605f156d666	
CHARS.DAX	0	758	439	7b994f5eeab06b2ed5a581bd15626a0725c586b0868ad057280c19989f0d597c	
CHARS.DAX	128	758	428	fd8e24067fd67d3f349f741ca0d0157eb4674663fd1e33cc2494c3badb786512	
CHARS.DAX	1	758	440	068d6d6d10e9ae0b6338504c6da44102647bdef495e5172d3cd1c78f234ae4f4	
CHARS.DAX	129	758	436	b00ca86e1b2a6de87341fcb9bd29bb25f1b02ed288aa0dbe6ddac90f814fdeb3	
CHARS.DAX	2	758	431	23695c9274b2443ae9b3935f0c253008b2d5499fbf37586742dee836c7dad825	
CHARS.DAX	130	758	423	e8557ef74c33cfa84a1a1c4bdf3a68e1a8b595b0b6483bda9de63deb89ead671	
CHARS.DAX	3	758	461	6ba56f8e5ea6c5c16099e308727c003d0702f431becac7bb34f5c930ce4c8dcd	
CHARS.DAX	131	758	455	6130b7cfcc912b9054ab26fb75f47a4a142cd5b3c344dd1a3a220e5e87bb6c36	
CHARS.DAX	4	758	441	ccb90d6fcd113b26e64b583f0d5482179306a9eb86f0d460783031e99c65514d	
CHARS.DAX	132	758	427	f928e5ee37d4964aa56b2b1e8888e0d343c76fb28703be27c0589a4fe9291fea	
