name	overlay	coab_addr	role_hint
title_screen	ovr002	-	
CMD_Exit	ovr003	-	
CMD_Goto	ovr003	-	
CMD_Gosub	ovr003	-	
CMD_Compare	ovr003	sub_2611D	
CMD_AddSubDivMulti	ovr003	sub_2619A	
CMD_Random	ovr003	sub_2623D	
CMD_Save	ovr003	-	
CMD_LoadCharacter	ovr003	-	
CMD_SetupMonster	ovr003	-	
CMD_LoadMonster	ovr003	-	
CMD_Approach	ovr003	sub_26835	
CMD_Picture	ovr003	-	
CMD_InputNumber	ovr003	-	
CMD_InputString	ovr003	-	
CMD_Print	ovr003	-	
CMD_Return	ovr003	-	
CMD_CompareAnd	ovr003	-	
CMD_If	ovr003	-	
CMD_NewECL	ovr003	-	
CMD_LoadFiles	ovr003	-	
CMD_AndOr	ovr003	-	
CMD_GetTable	ovr003	-	
CMD_SaveTable	ovr003	-	
CMD_VertMenu	ovr003	-	
CMD_HorizontalMenu	ovr003	-	
CMD_ClearMonsters	ovr003	-	
CMD_PartyStrength	ovr003	-	
CMD_CheckParty	ovr003	-	
CMD_PartySurprise	ovr003	-	
CMD_Surprise	ovr003	-	
CMD_Combat	ovr003	sub_277E4	
CMD_OnGotoGoSub	ovr003	-	
CMD_Treasure	ovr003	-	
CMD_Rob	ovr003	-	
CMD_EncounterMenu	ovr003	-	
CMD_Parlay	ovr003	-	
CMD_FindItem	ovr003	sub_28856	
CMD_Delay	ovr003	-	
CMD_Damage	ovr003	-	
CMD_SpriteOff	ovr003	-	
CMD_EclClock	ovr003	-	
CMD_PrintReturn	ovr003	sub_28D0F	
CMD_ClearBox	ovr003	sub_28D38	
CMD_Who	ovr003	sub_28D7F	
CMD_AddNPC	ovr003	sub_28DCA	
CMD_Spell	ovr003	-	
CMD_Call	ovr003	-	
TryEncamp	ovr003	-	
CMD_Program	ovr003	-	
CMD_Protection	ovr003	sub_2923F	
CMD_Dump	ovr003	sub_29271	
CMD_FindSpecial	ovr003	sub_292A5	
CMD_DestroyItems	ovr003	sub_292F9	
RunEclVm	ovr003	sub_29607	
sub_29677	ovr003	-	
sub_29758	ovr003	-	
copy_protection	ovr004	-	
buy_cure	ovr005	-	
cure_blindness	ovr005	-	
cure_disease	ovr005	-	
cure_wounds	ovr005	-	
raise_dead	ovr005	-	
cure_poison2	ovr005	-	
remove_curse	ovr005	-	
