00000008 len=28  WARNING: Insufficient Memory
00000010 len=58   Insufficient Memory$Insufficient Memory. Exiting ProgramU
00000011 len=32  Insufficient Memory$Insufficient
0000001E len=32  Memory$Insufficient Memory. Exit
00000025 len=36  Insufficient Memory. Exiting Program
00000189 len=36  CREATED BY:SSI SPECIAL PROJECTS TEAM
000001AE len=17  GAME DEVELOPMENT:
000001C0 len=12  PROGRAMMING:
000001CD len=14  Rhonda Gilbert
000001DC len=10  Russ Brown
000001E7 len=11  Kerry Bonin
000001F3 len=15  ENCOUNTER CODE:
00000203 len=12  Dave Shelley
00000208 len=32  ShelleyGRAPHIC ARTS:
Chris Carr
00000210 len=13  GRAPHIC ARTS:
0000021E len=10  Chris Carr
00000229 len=11  Laura Bowen
00000235 len=07  Tom Ono
0000023D len=10  Fred Butts
00000248 len=10  Ken Eklund
00000253 len=15  Maurine Starkey
00000263 len=08  Tony Van
0000026C len=13  Mike Provenza
0000027A len=13  Gary Shockley
00000288 len=12  Mark Johnson
00000295 len=13  Cynthia Huang
000002A3 len=09  Cyrus Lum
000002AD len=15  Adragon Demello
000002BD len=12  Susan Manley
000002CA len=06  MUSIC:
000002D1 len=26  Ralph Thomas & The Fat Man
000002EC len=10  PLAYTEST :
000002F7 len=26  John Boockholdt, Al Brown,
00000312 len=29  Glen Cureton, Mike Gilmartin,
00000313 len=71  len Cureton, Mike Gilmartin,#Cyrus Harris, Rob Lupo, Sean House,$John K
00000317 len=32  Cureton, Mike Gilmartin,#Cyrus H
00000318 len=67  ureton, Mike Gilmartin,#Cyrus Harris, Rob Lupo, Sean House,$John Ki
0000031F len=44   Mike Gilmartin,#Cyrus Harris, Rob Lupo, Sea
00000320 len=32  Mike Gilmartin,#Cyrus Harris, Ro
00000321 len=77  ike Gilmartin,#Cyrus Harris, Rob Lupo, Sean House,$John Kirk, Alan Marenco, B
00000325 len=32  Gilmartin,#Cyrus Harris, Rob Lup
00000326 len=71  ilmartin,#Cyrus Harris, Rob Lupo, Sean House,$John Kirk, Alan Marenco, 
0000032F len=44  #Cyrus Harris, Rob Lupo, Sean House,$John Ki
00000330 len=35  Cyrus Harris, Rob Lupo, Sean House,
00000331 len=67  yrus Harris, Rob Lupo, Sean House,$John Kirk, Alan Marenco, Brian L
00000336 len=32  Harris, Rob Lupo, Sean House,$Jo
0000033D len=44   Rob Lupo, Sean House,$John Kirk, Alan Maren
0000033E len=32  Rob Lupo, Sean House,$John Kirk,
00000342 len=32  Lupo, Sean House,$John Kirk, Ala
00000347 len=44   Sean House,$John Kirk, Alan Marenco, Brian 
00000348 len=32  Sean House,$John Kirk, Alan Mare
0000034D len=32  House,$John Kirk, Alan Marenco, 
00000354 len=36  John Kirk, Alan Marenco, Brian Lowe,
00000379 len=28  Jeff Shotwell, Larry Webber,
00000396 len=28  Chris Warshauer, James Young
000007EA len=05  title
0000086A len=05  title
00000F14 len=04  CPIC
00001C85 len=15  what do you do?
0000210A len=12  succeeds at 
00002117 len=05  party
0000211D len=10   fails at 
00002958 len=27  The entire party is killed!
00002F88 len=16   and you record 
00002F99 len=18   as logbook entry 
000031DA len=36  Congrats. The team gains experience!
000031E4 len=32  The team gains experience!
Congr
000031E8 len=32  team gains experience!
Congrats.
000031FF len=10  Congrats. 
0000320A len=18   gains experience!
00004088 len=08  (	-	>	[	
0000408A len=09  -	>	[	g	z
000040A0 len=10  *
?
P
l
{

00004251 len=08  #!#)#5#=
000042E5 len=13  +6+>+I+T+_+j+
00004384 len=10  Enemy ship
00004A23 len=29   leaps clear of an explosion.
00004A41 len=07   takes 
00004A49 len=18   points of damage!
00004A4A len=32  points of damage!
 is dead!!
 is
00004A51 len=32  of damage!
 is dead!!
 is dying!
00004A5C len=10   is dead!!
00004A67 len=10   is dying!
00004A72 len=16   is unconscious!
00004A83 len=22   is seriously injured.
00004CB2 len=07   fires 
00004CBA len=06  s and 
00004CC1 len=09  hits for 
00004CCB len=18   points of damage!
00004CDE len=07  misses.
00004E43 len=14   destroyed on 
00004E54 len=11   destroyed!
0000535B len=09  hits for 
00005365 len=18   points of damage!
00005378 len=07  misses.
00005380 len=16   attacks with a 
00005391 len=05   and 
000055C8 len=28   attempts a speed boost and 
000055C9 len=32  attempts a speed boost and 	succ
000055E5 len=09  succeeds!
000055EF len=06  fails!
000057CC len=05  Weap 
000057D4 len=04  Quit
0000581A len=22   attempts to jury-rig 
00005831 len=14   and succeeds!
00005840 len=11   and fails.
00005F8F len=25  Try to dodge enemy ship? 
00006095 len=17   attempts to ram!
000060A7 len=09  Your ship
000060B1 len=23   dodges out of the way!
000060C9 len=19  Ramming successful!
00006219 len=12   is closing.
00006297 len=15   is retreating.
000063A3 len=24  Select weapon to reload:
000063BE len=04  Quit
000063E4 len=11   reloads a 
000069CD len=33  The enemy jury-rigs some systems.
00006DF4 len=15   is your pilot.
00006E05 len=10  what does 
00006E10 len=12   want to do?
00006E1D len=12  Fire Target 
00006E2A len=05  Load 
00006E30 len=08  Juryrig 
00006E39 len=10  Quit View@
00006E44 len=06  Close 
00006E4B len=09  Withdraw 
00006E55 len=04  Ram 
00006E5A len=06  Board 
00006E61 len=08  Command 
00006E6A len=04  Aid 
00006E6F len=14  Boost engines 
00006E7E len=08  Sensors 
000072F6 len=55  You close with the injured vessel and attempt to board!
000072FA len=32  close with the injured vessel an
00007300 len=32  with the injured vessel and atte
00007305 len=32  the injured vessel and attempt t
00007309 len=32  injured vessel and attempt to bo
0000732E len=21   takes over as pilot.
00007346 len=20  Target which system?
0000735B len=04  Ram 
00007363 len=08  succeeds
0000736C len=05  fails
00007372 len=21   at sensor operation!
00007388 len=14  Ship Character
0000747B len=04  <Bui
000074E8 len=04  <Cuk
0000793D len=41  The enemy ship recedes off your scanners.
00007941 len=32  enemy ship recedes off your scan
00007947 len=32  ship recedes off your scanners.U
00007DD2 len=10  7
H
R
]
g

00007DD4 len=10  H
R
]
g
v

00007F35 len=13  .(.2.D.Q.i.s.
00007F89 len=07  4'41494
00007FA3 len=08  55,5<5G
00008B11 len=18  The team has fled.
00008B24 len=17  The team has won.
00008B36 len=24  Each character receives 
00008B4F len=18  experience points.
00008CEB len=06  Gear: 
00008CF2 len=04  Take
00008EE1 len=06  Take: 
00008EE8 len=17  Credits Gear Exit
0000904E len=16    Repairing Ship
00009060 len=38  Engineer         System         Result
00009089 len=06   fixed
0000908A len=32  fixed) units of fuel plundered f
00009090 len=41   units of fuel plundered from enemy ship!
00009091 len=32  units of fuel plundered from ene
00009097 len=32  of fuel plundered from enemy shi
000090BA len=24    All repairs completed.
000095F9 len=16  Use antidote on 
0000971B len=20    Treating Poisoning
0000971C len=32   Treating Poisoning&Medic       
0000971D len=32  Treating Poisoning&Medic        
00009726 len=32  Poisoning&Medic            Patie
00009730 len=38  Medic            Patient        Result
00009736 len=32             Patient        Result
00009757 len=06   cured
0000975E len=20   is dying of poison!
00009773 len=09   is cured
0000977D len=19   slips into a coma.
000097B1 len=17    Treating Wounds
000097C5 len=29    No injuries were sustained.
000097E3 len=26    No medics are available.
000097E4 len=32   No medics are available.(  No i
000097E5 len=32  No medics are available.(  No in
000097E8 len=32  medics are available.(  No injur
000097EF len=32  are available.(  No injuries wer
000097F3 len=32  available.(  No injuries were su
000097FE len=40    No injuries were successfully treated.
000097FF len=32   No injuries were successfully t
00009800 len=32  No injuries were successfully tr
00009803 len=32  injuries were successfully treat
00009827 len=20    Healing completed.
00009FDB len=05  View 
00009FE1 len=05  Take 
00009FE7 len=06  Divvy 
00009FEE len=05  Pool 
00009FF4 len=07  Status 
00009FFC len=04  Exit
0000A001 len=21  Enemy ship destroyed.
0000A017 len=08  ~Yes ~No
0000A020 len=28  There is still booty left.  
0000A026 len=32  is still booty left.  $Do you wa
0000A029 len=32  still booty left.  $Do you want 
0000A02F len=32  booty left.  $Do you want to go 
0000A035 len=32  left.  $Do you want to go back a
0000A03B len=32   $Do you want to go back and cla
0000A03C len=32  $Do you want to go back and clai
0000A03D len=36  Do you want to go back and claim it?
0000A040 len=32  you want to go back and claim it
0000A4A6 len=21  Your team has met an 
0000A4BC len=16  unfortunate end.
0000A6E7 len=09  =	G	Q	V	[
0000B1AF len=05  Move 
0000B1B5 len=12  Target View 
0000B1C2 len=11  Intimidate 
0000B1CE len=06  Quick 
0000B1D5 len=04  Aid 
0000B1DA len=07  Sprint 
0000B1E2 len=06  Dodge 
0000B209 len=08  Jetpack 
0000B212 len=05  Wait 
0000B218 len=06  Guard 
0000B6FB len=09  Sprinting
0000B705 len=07  Dodging
0000B70D len=11  Move/Attack
0000B719 len=14  , Move Left = 
0000B728 len=05   Done
0000B72E len=05  Flee:
0000B734 len=14  can't go there
0000BAE1 len=17  Not while running
0000BAF3 len=20  Not with that weapon
0000BC79 len=10  D
N
]
n
x

0000BD26 len=14  flees in panic
0000C143 len=04  <&u)
0000C729 len=25  Move/Attack, Move Left = 
0000CFF2 len=10  Surrenders
0000D3B0 len=22  readies a heavy weapon
0000DA57 len=08  f	@
\
a

0000DA59 len=09  @
\
a
k
p
0000ED42 len=26  Cant identify wild terrain
0000EDC7 len=04  <	u?
0000F1A8 len=07  marscom
0000F1B0 len=08  venuscom
0000F1B9 len=05  lotek
0000F1BF len=05  hitek
0000FF37 len=18  A battle begins...
00010304 len=06  COMSPR
0001030B len=06  cursor
00010312 len=05  ITEMS
00010E75 len=09  '
9
K
\
|
00011163 len=09  dodges it
000112D4 len=11  is poisoned
000112E0 len=08  is dizzy
000113BC len=11  is poisoned
00011885 len=09  +	8	E	R	_
00011887 len=09  8	E	R	_	l
00011889 len=09  E	R	_	l	y
00011B92 len=11  -Backstabs-
00011B9E len=14  slays helpless
00011BAD len=07  Attacks
00011BB5 len=14  (from behind) 
00011BC4 len=19  with one cruel blow
00011BD8 len=12  Hitting for 
00011BE5 len=07   point 
00011BED len=08   points 
00011BEE len=32  points 	of damage
and Misses	goe
00011BF6 len=09  of damage
00011C00 len=10  and Misses
00011C0B len=09  goes down
00011C15 len=12  and is Dying
00011C42 len=09  is killed
000122C3 len=08  Got Away
000122CC len=17  Escape is blocked
000124BE len=10  is stunned
00012EB2 len=21  launches a missile...
00012EC8 len=19  throws a grenade...
00012EDC len=14  It goes astray
00012EEB len=04   and
00012EF3 len=11   hits chaff
00012F1F len=16  leaps for cover!
00012F34 len=25  Bad tileNum in lingering-
00013AE8 len=32  Weapon specials incorrectly set!
00013F22 len=20  fails at use jetpack
000142F2 len=08  Guarding
000146A4 len=13  Attack Ally: 
00014791 len=07  (short)
00014799 len=08  (medium)
000147A2 len=06  (long)
000147A9 len=08  Range = 
00014892 len=17  Next Prev Manual 
000148A4 len=07  Attack 
000148AC len=11  Center Exit
000148B8 len=04  Aim:
00014B88 len=06  Flying
00014B8F len=05  Land 
